iter	Passed	Remaining
901	2055	223
902	2056	220
903	2058	218
904	2060	216
905	2064	214
906	2066	211
907	2068	209
908	2069	207
909	2071	204
910	2073	202
911	2074	200
912	2078	198
913	2080	195
914	2081	193
915	2083	191
916	2085	188
917	2087	186
918	2088	184
919	2090	181
920	2094	179
921	2096	177
922	2098	175
923	2099	172
924	2101	170
925	2103	168
926	2104	165
927	2108	163
928	2110	161
929	2111	158
930	2113	156
931	2115	154
932	2116	152
933	2118	149
934	2120	147
935	2122	145
936	2124	142
937	2126	140
938	2128	138
939	2129	135
940	2131	133
941	2133	131
942	2135	129
943	2137	126
944	2140	124
945	2141	122
946	2143	119
947	2145	117
948	2147	115
949	2149	113
950	2152	110
951	2154	108
952	2156	106
953	2158	104
954	2159	101
955	2161	99
956	2162	97
957	2164	94
958	2167	92
959	2169	90
960	2170	88
961	2172	85
962	2174	83
963	2175	81
964	2177	78
965	2179	76
966	2180	74
967	2184	72
968	2185	69
969	2187	67
970	2189	65
971	2190	63
972	2192	60
973	2194	58
974	2196	56
975	2198	54
976	2200	51
977	2202	49
978	2203	47
979	2205	45
980	2207	42
981	2208	40
982	2211	38
983	2213	35
984	2215	33
985	2217	31
986	2218	29
987	2221	26
988	2223	24
989	2228	22
990	2230	20
991	2232	18
992	2233	15
993	2235	13
994	2237	11
995	2238	8
996	2240	6
997	2243	4
998	2245	2
999	2247	0
